,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116804381,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
LOC116804382,1,0,17,0,3,4,3,14,27,3,12,6,14,7,5
LOC116804386,18,18,41,17,13,28,4,9,17,0,7,2,9,33,12
LOC116804387,1,0,0,5,0,0,2,3,0,0,0,2,0,0,0
LOC116804388,29,34,157,15,64,17,20,60,42,22,75,45,0,14,7
LOC116804389,3,2,9,0,0,0,0,0,0,0,0,0,0,1,0
LOC116804390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804392,11,3,14,131,247,70,38,54,52,173,561,332,0,36,12
LOC116804394,0,0,0,204,366,146,64,162,77,24,53,38,61,93,61
LOC116804395,4,5,12,4,14,10,3,39,5,1,2,6,33,57,10
LOC116804396,3,4,2,0,4,0,1,0,1,0,18,3,0,0,0
LOC116804398,468,412,2475,568,1299,357,441,978,506,270,797,474,417,546,295
LOC116804402,37,9,122,5,6,9,3,5,2,1,12,4,0,0,3
LOC116804403,112,130,715,190,590,188,122,351,198,112,409,331,134,261,121
LOC116804406,6,1,30,5,21,8,7,11,10,3,12,1,8,16,0
LOC116804408,0,0,0,0,5,0,0,1,2,0,0,0,2,0,1
LOC116804411,1227,1270,6812,744,1583,998,1415,2686,2011,1081,2848,1747,2575,4006,2800
LOC116804412,2,8,26,10,7,4,1,22,4,0,4,0,12,4,3
LOC116804413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
LOC116804453,0,0,0,8,7,0,1,20,7,0,0,0,8,2,2
LOC116804455,106,75,521,11,55,2,27,36,25,8,49,23,22,11,8
LOC116804456,772,557,3994,1239,3026,1028,986,2607,1751,398,1212,940,1194,2340,1200
LOC116804458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804459,500,440,2077,541,1078,456,191,524,228,243,553,306,257,345,179
LOC116804460,18,7,76,33,39,8,35,58,63,7,13,5,19,10,2
LOC116804461,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
LOC116804462,51,55,273,35,97,53,17,30,18,15,51,26,26,22,13
LOC116804463,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC116804464,4,4,19,4,21,9,4,16,19,8,39,29,9,4,0
LOC116804465,20,6,31,2,25,23,27,24,27,12,40,29,3,0,0
LOC116804468,71,54,253,175,301,155,207,407,229,75,109,103,151,205,88
LOC116804469,12,9,21,6,35,8,22,37,11,1,6,3,7,3,12
LOC116804472,2,8,21,0,0,0,7,10,4,0,5,5,0,0,0
LOC116804473,1592,1234,6165,3173,5969,2379,1783,2879,2020,1850,3275,2434,4442,4615,2573
LOC116804481,22,2,27,17,40,16,34,34,40,12,30,35,5,6,2
LOC116804485,548,462,2648,545,1435,473,882,1471,1089,415,1107,565,341,586,324
LOC116804492,13,5,106,32,91,23,3,6,4,0,0,2,9,4,0
LOC116804493,0,0,0,0,0,0,0,0,7,0,1,0,1,5,0
LOC116804496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804497,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
LOC116804498,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0
LOC116804499,85,79,389,193,408,165,105,278,107,98,258,212,173,276,127
LOC116804500,738,303,2324,837,1544,549,459,785,434,379,612,681,480,368,208
LOC116804501,8,11,58,20,61,7,13,81,48,8,19,21,9,10,4
LOC116804502,96,81,569,135,239,96,143,218,217,224,638,342,39,63,49
LOC116804505,215,123,1013,340,971,361,317,715,396,143,168,206,125,195,114
LOC116804507,87,71,234,257,521,171,132,263,162,104,147,113,303,389,87
LOC116804508,30,8,39,75,137,40,26,20,25,47,84,46,6,25,8
