,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC26527770,1184,866,1259,750,951,412
LOC26527771,50195,37191,49512,35206,66877,22465
LOC26527786,474,320,487,154,249,78
LOC26527789,9834,7468,9622,4481,6234,2258
LOC26527792,26,24,28,30,64,32
LOC26527797,296,230,313,176,304,115
LOC26527799,197,123,190,211,297,138
LOC26527801,20,26,27,26,50,18
LOC26527803,0,0,0,0,1,1
LOC26527805,0,0,0,359607,529336,228986
LOC26527809,165,139,180,163,243,154
LOC26527810,0,0,0,0,0,0
LOC26527811,1394,1027,1493,3374,5646,2579
LOC26527813,376,243,335,165,235,80
LOC26527818,237,202,245,415,655,311
LOC26527819,497,404,533,272,408,118
LOC26527820,13,15,9,220,225,163
LOC26527823,620,463,557,462,701,277
LOC26527826,337,270,332,425,633,253
LOC26527843,1594,1351,1463,3945,6192,2821
LOC26527856,423,284,409,305,483,280
LOC26527857,0,0,3,1,1,1
LOC26527864,279,211,264,67,124,54
LOC26527867,94,145,108,98,164,91
LOC26527871,411,329,404,194,287,156
LOC26527875,1451,1122,1235,1145,1468,546
LOC26527876,63,47,55,29,60,27
LOC26527883,720,529,734,854,1373,638
LOC26527888,5,4,11,5,5,1
LOC26527892,14,13,34,4,3,2
LOC26527900,19,12,23,21,36,11
LOC26527906,606,427,463,245,334,115
LOC26527917,1494,1207,1567,1547,2604,1182
LOC26527918,665,460,606,562,857,493
LOC26527923,811,598,832,6354,8366,4142
LOC26527925,769,533,803,2179,3309,1530
LOC26527934,239,203,262,251,352,160
LOC26527938,258,188,269,84,116,48
LOC26527940,132,106,128,430,668,229
LOC26527941,6,3,3,4,3,0
LOC26527948,324,221,341,435,667,352
LOC26527949,110,82,118,203,277,165
LOC26527960,513,429,573,601,916,506
LOC26527968,275,179,229,485,671,318
LOC26527969,0,0,0,0,0,0
LOC26527988,2047,1507,2068,778,1225,693
LOC26527993,54,42,50,33,41,19
LOC26527997,813,620,890,594,828,391
LOC26527999,1980,1525,1813,671,1005,394
LOC26528006,82,48,66,30,79,18
LOC26528009,1031,965,1183,2674,3977,1859
LOC26528015,956,838,884,1426,2132,810
LOC26528018,225,192,255,309,517,249
LOC26528030,1735,1571,1661,3119,4796,2361
LOC26528031,66,69,71,33,35,28
LOC26528032,20,6,26,28,35,16
LOC26528033,693,601,787,1266,1993,949
LOC26528040,17,14,11,12,27,6
LOC26528043,235,153,196,34,50,25
LOC26528056,1,0,1,189,282,110
LOC26528060,51,66,40,165,209,109
LOC26528062,259,246,290,44,70,28
LOC26528066,77,55,82,34,48,9
LOC26528067,36,50,30,90,134,44
LOC26528085,1,2,3,2,4,2
LOC26528102,103,95,107,292,399,213
LOC26528103,56,30,42,78,92,54
LOC26528105,5153,3801,5179,6433,9316,4357
LOC26528108,3,5,7,8,22,9
LOC26528111,0,1,0,8,2,2
LOC26528134,10224,8284,9558,19234,30874,13603
LOC26528142,88,76,76,58,69,55
LOC26528143,431,366,363,1449,2069,926
LOC26528149,16,16,16,4,18,5
LOC26528156,50,32,40,172,315,109
LOC26528187,1,5,0,2,6,1
LOC26528194,4159,3288,4434,5901,8932,4018
LOC26528203,625,421,564,665,1078,437
LOC26528208,71,70,90,49,81,33
LOC26528211,376,342,385,1195,1756,833
LOC26528213,2171,1787,1980,3514,5656,2844
LOC26528219,534,429,615,877,1262,692
LOC26528220,2560,2149,2658,1187,1761,720
LOC26528222,41,35,32,29,27,9
LOC26528226,2,0,3,4,1,2
LOC26528230,312,230,338,306,458,220
LOC26528232,591,502,593,1194,2026,840
LOC26528233,141,123,164,200,259,103
LOC26528255,344,260,366,483,757,337
LOC26528271,164,145,146,332,466,214
LOC26528281,119,81,104,63,124,43
LOC26528286,52,54,73,46,71,20
LOC26528290,2912,2116,2925,4157,6049,1932
LOC26528291,7943,6141,7360,9529,13844,7428
LOC26528299,4,10,8,18,30,13
LOC26528309,1,1,1,0,2,2
LOC26528310,6,3,3,18,15,7
LOC26528313,1177,748,1167,2366,3170,1454
LOC26528315,1362,1150,1290,6200,8529,4423
